Year,Round,Season,Date,Time,HomeTeam,HomeCountry,Score,AwayTeam,AwayCountry,Win,WinCountry,Venue
2008,1,1,Saturday 5 April,0.604166667,Central Pulse,New Zealand,33-50,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"TSB Bank Arena, Wellington"
2008,1,1,Sunday 6 April,0.541666667,Queensland Firebirds,Australia,48-46,West Coast Fever,Australia,Queensland Firebirds,Australia,Brisbane Convention & Exhibition Centre
2008,1,1,Sunday 6 April,0.729166667,Northern Mystics,New Zealand,44-48,Canterbury Tactix,New Zealand,Canterbury Tactix,New Zealand,"Trusts Stadium, Auckland"
2008,1,1,Monday 7 April,0.791666667,Waikato Bay of Plenty Magic,New Zealand,46-42,Adelaide Thunderbirds,Australia,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2008,1,1,Monday 7 April,0.791666667,New South Wales Swifts,Australia,53-42,Southern Steel,New Zealand,New South Wales Swifts,Australia,"Acer Arena, Sydney"
2008,2,1,Saturday 12 April,0.604166667,Canterbury Tactix,New Zealand,50-44,New South Wales Swifts,Australia,Canterbury Tactix,New Zealand,"Westpac Centre, Christchurch"
2008,2,1,Sunday 13 April,0.5625,Melbourne Vixens,Australia,62-52,Queensland Firebirds,Australia,Melbourne Vixens,Australia,"State Netball and Hockey Centre,Melbourne"
2008,2,1,Sunday 13 April,0.729166667,Waikato Bay of Plenty Magic,New Zealand,56-52,Northern Mystics,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2008,2,1,Monday 14 April,0.791666667,Central Pulse,New Zealand,50-52,Southern Steel,New Zealand,Southern Steel,New Zealand,"TSB Bank Arena, Wellington"
2008,2,1,Monday 14 April,0.75,West Coast Fever,Australia,41-54,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Challenge Stadium, Perth"
2008,3,1,Saturday 19 April,0.604166667,Northern Mystics,New Zealand,45-49,West Coast Fever,Australia,West Coast Fever,Australia,"Trusts Stadium, Auckland"
2008,3,1,Saturday 19 April,0.604166667,New South Wales Swifts,Australia,50-47,Waikato Bay of Plenty Magic,New Zealand,New South Wales Swifts,Australia,Newcastle Entertainment Centre
2008,3,1,Sunday 20 April,0.5625,Melbourne Vixens,Australia,38-39,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Vodafone Arena, Melbourne"
2008,3,1,Monday 21 April,0.791666667,Canterbury Tactix,New Zealand,42-51,Southern Steel,New Zealand,Southern Steel,New Zealand,"Westpac Arena, Christchurch"
2008,3,1,Monday 21 April,0.791666667,Queensland Firebirds,Australia,56-28,Central Pulse,New Zealand,Queensland Firebirds,Australia,Brisbane Convention & Exhibition Centre
2008,4,1,Saturday 26 April,0.604166667,Waikato Bay of Plenty Magic,New Zealand,61-47,West Coast Fever,Australia,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre,Hamilton"
2008,4,1,Saturday 26 April,0.604166667,Queensland Firebirds,Australia,46-40,Northern Mystics,New Zealand,Queensland Firebirds,Australia,Brisbane Convention & Exhibition Centre
2008,4,1,Sunday 27 April,0.541666667,Adelaide Thunderbirds,Australia,54-41,Southern Steel,New Zealand,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2008,4,1,Monday 28 April,0.791666667,Canterbury Tactix,New Zealand,50-58,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Westpac Arena, Christchurch"
2008,4,1,Monday 28 April,0.791666667,New South Wales Swifts,Australia,59-30,Central Pulse,New Zealand,New South Wales Swifts,Australia,Sydney Olympic Park Sports Centre
2008,5,2,Saturday 3 May,0.604166667,Waikato Bay of Plenty Magic,New Zealand,54-37,Central Pulse,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre,Hamilton"
2008,5,2,Saturday 3 May,0.520833333,West Coast Fever,Australia,46-65,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Challenge Stadium, Perth"
2008,5,2,Monday 5 May,0.791666667,Southern Steel,New Zealand,48-50,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Stadium Southland, Invercargill"
2008,5,2,Monday 5 May,0.791666667,New South Wales Swifts,Australia,52-53,Melbourne Vixens,Australia,Melbourne Vixens,Australia,Newcastle Entertainment Centre
2008,6,2,Saturday 10 May,0.604166667,Southern Steel,New Zealand,48-51,Canterbury Tactix,New Zealand,Canterbury Tactix,New Zealand,"Stadium Southland, Invercargill"
2008,6,2,Saturday 10 May,0.604166667,Queensland Firebirds,Australia,66-52,New South Wales Swifts,Australia,Queensland Firebirds,Australia,Brisbane Convention & Exhibition Centre
2008,6,2,Monday 12 May,0.791666667,Northern Mystics,New Zealand,45-59,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Trusts Stadium, Auckland"
2008,6,2,Monday 12 May,0.770833333,Adelaide Thunderbirds,Australia,66-50,West Coast Fever,Australia,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2008,7,2,Saturday 17 May,0.604166667,Central Pulse,New Zealand,50-55,Canterbury Tactix,New Zealand,Canterbury Tactix,New Zealand,"Arena Manawatu, Palmerston North"
2008,7,2,Sunday 18 May,0.541666667,Adelaide Thunderbirds,Australia,46-52,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"ETSA Park, Adelaide"
2008,7,2,Monday 19 May,0.791666667,Waikato Bay of Plenty Magic,New Zealand,56-47,Southern Steel,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre,Hamilton"
2008,7,2,Monday 19 May,0.791666667,New South Wales Swifts,Australia,66-54,West Coast Fever,Australia,New South Wales Swifts,Australia,Sydney Olympic Park Sports Centre
2008,8,2,Saturday 24 May,0.604166667,Canterbury Tactix,New Zealand,50-54,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Westpac Arena, Christchurch"
2008,8,2,Sunday 25 May,0.5625,Queensland Firebirds,Australia,60-51,Melbourne Vixens,Australia,Queensland Firebirds,Australia,Brisbane Convention & Exhibition Centre
2008,8,2,Monday 26 May,0.791666667,Central Pulse,New Zealand,48-54,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"TSB Bank Arena, Wellington"
2008,8,2,Monday 26 May,0.770833333,Adelaide Thunderbirds,Australia,44-50,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"ETSA Park, Adelaide"
2008,9,2,Saturday 31 May,0.604166667,Southern Steel,New Zealand,41-29,Central Pulse,New Zealand,Southern Steel,New Zealand,"Stadium Southland, Invercargill"
2008,9,2,Sunday 1 June,0.5625,Melbourne Vixens,Australia,57-44,West Coast Fever,Australia,Melbourne Vixens,Australia,"State Netball and Hockey Centre,Melbourne"
2008,9,2,Monday 2 June,0.791666667,Northern Mystics,New Zealand,50-46,Canterbury Tactix,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2008,9,2,Monday 2 June,0.791666667,Queensland Firebirds,Australia,41-47,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,Brisbane Convention & Exhibition Centre
2008,10,3,Saturday 7 June,0.604166667,Southern Steel,New Zealand,47-46,Melbourne Vixens,Australia,Southern Steel,New Zealand,"Stadium Southland, Invercargill"
2008,10,3,Sunday 8 June,0.541666667,Adelaide Thunderbirds,Australia,61-41,Canterbury Tactix,New Zealand,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2008,10,3,Sunday 8 June,0.729166667,Waikato Bay of Plenty Magic,New Zealand,56-50,Queensland Firebirds,Australia,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2008,10,3,Monday 9 June,0.791666667,Northern Mystics,New Zealand,62-64,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Trusts Stadium, Auckland"
2008,10,3,Monday 9 June,0.75,West Coast Fever,Australia,draw 33-16,Central Pulse,New Zealand,Central Pulse,New Zealand,"Challenge Stadium, Perth"
2008,11,3,Saturday 14 June,0.604166667,Northern Mystics,New Zealand,47-48,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Trusts Stadium, Auckland"
2008,11,3,Sunday 15 June,0.5625,New South Wales Swifts,Australia,61-60,Queensland Firebirds,Australia,New South Wales Swifts,Australia,Sydney Olympic Park Sports Centre
2008,11,3,Sunday 15 June,0.729166667,Canterbury Tactix,New Zealand,50-49,Central Pulse,New Zealand,Canterbury Tactix,New Zealand,"Westpac Centre, Christchurch"
2008,11,3,Monday 16 June,0.791666667,Southern Steel,New Zealand,58-43,West Coast Fever,Australia,Southern Steel,New Zealand,"Edgar Centre, Dunedin"
2008,11,3,Monday 16 June,0.791666667,Melbourne Vixens,Australia,47-40,Waikato Bay of Plenty Magic,New Zealand,Melbourne Vixens,Australia,"State Netball and Hockey Centre,Melbourne"
2008,12,3,Saturday 21 June,0.604166667,Central Pulse,New Zealand,41-46,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"TSB Bank Arena, Wellington"
2008,12,3,Saturday 21 June,0.520833333,West Coast Fever,Australia,48-54,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Challenge Stadium, Perth"
2008,12,3,Sunday 22 June,0.5625,Queensland Firebirds,Australia,50-36,Canterbury Tactix,New Zealand,Queensland Firebirds,Australia,Brisbane Convention & Exhibition Centre
2008,12,3,Monday 23 June,0.791666667,Northern Mystics,New Zealand,47-41,Southern Steel,New Zealand,Northern Mystics,New Zealand,"North Shore Events Centre, Auckland"
2008,12,3,Monday 23 June,0.791666667,New South Wales Swifts,Australia,51-41,Adelaide Thunderbirds,Australia,New South Wales Swifts,Australia,Sydney Olympic Park Sports Centre
2008,13,3,Saturday 28 June,0.604166667,Northern Mystics,New Zealand,42-28,Central Pulse,New Zealand,Northern Mystics,New Zealand,"North Shore Events Centre, Auckland"
2008,13,3,Saturday 28 June,0.583333333,Adelaide Thunderbirds,Australia,66-47,Queensland Firebirds,Australia,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2008,13,3,Sunday 29 June,0.479166667,West Coast Fever,Australia,50-44,Canterbury Tactix,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2008,13,3,Monday 30 June,0.791666667,Southern Steel,New Zealand,47-43,Waikato Bay of Plenty Magic,New Zealand,Southern Steel,New Zealand,"Stadium Southland, Invercargill"
2008,13,3,Monday 30 June,0.791666667,Melbourne Vixens,Australia,49-62,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Vodafone Arena, Melbourne"
2008,14,3,Saturday 5 July,0.604166667,Waikato Bay of Plenty Magic,New Zealand,69-44,Canterbury Tactix,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre,Hamilton"
2008,14,3,Sunday 6 July,0.5625,Melbourne Vixens,Australia,56-47,Northern Mystics,New Zealand,Melbourne Vixens,Australia,"Vodafone Arena, Melbourne"
2008,14,3,Sunday 6 July,0.729166667,Southern Steel,New Zealand,54-52,Queensland Firebirds,Australia,Southern Steel,New Zealand,"Edgar Centre, Dunedin"
2008,14,3,Monday 7 July,0.791666667,Central Pulse,New Zealand,32-44,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Pettigrew Green Arena, Napier"
2008,14,3,Monday 7 July,0.75,West Coast Fever,Australia,54-63,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Challenge Stadium, Perth"
2008,15,4,Sunday 13 July,0.729166667,Waikato Bay of Plenty Magic,New Zealand,56-57,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Mystery Creek Events Centre,Hamilton"
2008,15,4,Monday 14 July,0.6875,Adelaide Thunderbirds,Australia,53-48,Melbourne Vixens,Australia,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2008,16,4,Monday 21 July,0.791666667,Waikato Bay of Plenty Magic,New Zealand,51-49,Adelaide Thunderbirds,Australia,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre,Hamilton"
2008,17,4,Monday 28 July,0.791666667,New South Wales Swifts,Australia,65-56,Waikato Bay of Plenty Magic,New Zealand,New South Wales Swifts,Australia,"Acer Arena, Sydney"
2009,1,1,"Saturday 4 April, 2:00 pm",,Southern Steel,New Zealand,55-46,Central Pulse,New Zealand,Southern Steel,New Zealand,"Stadium Southland, Invercargill"
2009,1,1,"Saturday 4 April, 2:00 pm",,Melbourne Vixens,Australia,57-44,West Coast Fever,Australia,Melbourne Vixens,Australia,"State Netball and Hockey Centre, Melbourne"
2009,1,1,"Sunday 5 April, 2:30 pm",,Queensland Firebirds,Australia,48-60,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,Brisbane Convention and Exhibition Centre
2009,1,1,"Monday 6 April, 7:00 pm",,Northern Mystics,New Zealand,38-51,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Trusts Stadium, Auckland"
2009,1,1,"Monday 6 April, 7:00 pm",,New South Wales Swifts,Australia,62-45,Canterbury Tactix,New Zealand,New South Wales Swifts,Australia,Sydney Olympic Park Sports Centre
2009,2,1,"Saturday 11 April, 2:00 pm",,Waikato Bay of Plenty Magic,New Zealand,54-47,Southern Steel,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Queen Elizabeth Youth Centre, Tauranga"
2009,2,1,"Sunday 12 April, 2:00 pm",,Adelaide Thunderbirds,Australia,48-47,New South Wales Swifts,Australia,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2009,2,1,"Sunday 12 April, 6:30 pm",,Northern Mystics,New Zealand,54-50,Central Pulse,New Zealand,Northern Mystics,New Zealand,"North Shore Events Centre, Auckland"
2009,2,1,"Monday 13 April, 7:00 pm",,Canterbury Tactix,New Zealand,52-44,West Coast Fever,Australia,Canterbury Tactix,New Zealand,"Westpac Arena, Christchurch"
2009,2,1,"Monday 13 April, 7:00 pm",,Queensland Firebirds,Australia,51-54,Melbourne Vixens,Australia,Melbourne Vixens,Australia,Brisbane Convention and Exhibition Centre
2009,3,1,"Saturday 18 April, 2:00 pm",,Central Pulse,New Zealand,46-58,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"TSB Bank Arena, Wellington"
2009,3,1,"Sunday 19 April, 2:00 pm",,Adelaide Thunderbirds,Australia,43-49,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"ETSA Park, Adelaide"
2009,3,1,"Sunday 19 April, 6:30 pm",,Southern Steel,New Zealand,52-48,Canterbury Tactix,New Zealand,Southern Steel,New Zealand,"The Edgar Centre, Dunedin"
2009,3,1,"Monday 20 April, 7:00 pm",,Waikato Bay of Plenty Magic,New Zealand,63-45,New South Wales Swifts,Australia,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre, Hamilton"
2009,3,1,"Monday 20 April, 5:00 pm",,West Coast Fever,Australia,57-46,Northern Mystics,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2009,4,1,"Saturday 25 April, 2:00 pm",,Central Pulse,New Zealand,54-60,West Coast Fever,Australia,West Coast Fever,Australia,"Arena Manawatu, Palmerston North"
2009,4,1,"Saturday 25 April, 2:00 pm",,Melbourne Vixens,Australia,48-31,Southern Steel,New Zealand,Melbourne Vixens,Australia,"State Netball and Hockey Centre, Melbourne"
2009,4,1,"Sunday 26 April, 2:30 pm",,Queensland Firebirds,Australia,53-42,Waikato Bay of Plenty Magic,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2009,4,1,"Monday 27 April, 7:00 pm",,Canterbury Tactix,New Zealand,48-53 (42-42),Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Westpac Arena, Christchurch"
2009,4,1,"Monday 27 April, 7:00 pm",,New South Wales Swifts,Australia,59-55,Northern Mystics,New Zealand,New South Wales Swifts,Australia,Sydney Olympic Park Sports Centre
2009,5,2,"Saturday 2 May, 2:00 pm",,Canterbury Tactix,New Zealand,48-50,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Westpac Arena, Christchurch"
2009,5,2,"Sunday 3 May, 2:30 pm",,Melbourne Vixens,Australia,50-42,Adelaide Thunderbirds,Australia,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2009,5,2,"Monday 4 May, 7:00 pm",,Central Pulse,New Zealand,60-61 (50-50),Northern Mystics,New Zealand,Northern Mystics,New Zealand,"TSB Bank Arena, Wellington"
2009,5,2,"Monday 4 May, 6:00 pm",,West Coast Fever,Australia,67-66 (54-54),New South Wales Swifts,Australia,West Coast Fever,Australia,"Challenge Stadium, Perth"
2009,6,2,"Saturday 9 May, 2:00 pm",,Waikato Bay of Plenty Magic,New Zealand,59-36,Central Pulse,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre, Hamilton"
2009,6,2,"Sunday 10 May, 2:30 pm",,New South Wales Swifts,Australia,40-51,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,Sydney Olympic Park Sports Centre
2009,6,2,"Monday 11 May, 7:00 pm",,Northern Mystics,New Zealand,52-61,Southern Steel,New Zealand,Southern Steel,New Zealand,"Trusts Stadium, Auckland"
2009,6,2,"Monday 11 May, 7:00 pm",,Queensland Firebirds,Australia,56-53,West Coast Fever,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2009,7,2,"Saturday 16 May, 2:00 pm",,Canterbury Tactix,New Zealand,47-48,Southern Steel,New Zealand,Southern Steel,New Zealand,"Westpac Arena, Christchurch"
2009,7,2,"Sunday 17 May, 12:30 pm",,West Coast Fever,Australia,49-74,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Challenge Stadium, Perth"
2009,7,2,"Monday 18 May, 7:00 pm",,Waikato Bay of Plenty Magic,New Zealand,50-35,Northern Mystics,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2009,7,2,"Monday 18 May, 7:00 pm",,New South Wales Swifts,Australia,54-58,Queensland Firebirds,Australia,Queensland Firebirds,Australia,Sydney Olympic Park Sports Centre
2009,8,2,"Saturday 23 May, 2:00 pm",,Canterbury Tactix,New Zealand,49-46,Central Pulse,New Zealand,Canterbury Tactix,New Zealand,"Westpac Arena, Christchurch"
2009,8,2,"Sunday 24 May, 2:00 pm",,Adelaide Thunderbirds,Australia,51-50,Queensland Firebirds,Australia,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2009,8,2,"Monday 25 May, 7:00 pm",,Southern Steel,New Zealand,39-48,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Stadium Southland, Invercargill"
2009,8,2,"Monday 25 May, 7:00 pm",,Melbourne Vixens,Australia,65-63 (54-54),New South Wales Swifts,Australia,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2009,9,2,"Saturday 30 May, 2:00 pm",,Central Pulse,New Zealand,44-66,Southern Steel,New Zealand,Southern Steel,New Zealand,"TSB Bank Arena, Wellington"
2009,9,2,"Sunday 31 May, 2:30 pm",,Melbourne Vixens,Australia,57-53,Queensland Firebirds,Australia,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2009,9,2,"Monday 1 June, 7:00 pm",,Northern Mystics,New Zealand,47-46,Canterbury Tactix,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2009,9,2,"Monday 1 June, 6:00 pm",,West Coast Fever,Australia,41-61,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Challenge Stadium, Perth"
2009,10,3,"Saturday 6 June, 2:00 pm",,Central Pulse,New Zealand,45-59,Canterbury Tactix,New Zealand,Canterbury Tactix,New Zealand,"Te Rauparaha Arena, Porirua"
2009,10,3,"Saturday 6 June, 1:30 pm",,Adelaide Thunderbirds,Australia,58-34,Northern Mystics,New Zealand,Adelaide Thunderbirds,Australia,"Adelaide Arena, Adelaide"
2009,10,3,"Sunday 7 June, 2:30 pm",,Queensland Firebirds,Australia,62-61,New South Wales Swifts,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2009,10,3,"Monday 8 June, 7:00 pm",,Waikato Bay of Plenty Magic,New Zealand,55-48,Melbourne Vixens,Australia,Waikato Bay of Plenty Magic,New Zealand,"Queen Elizabeth Youth Centre, Tauranga"
2009,10,3,"Monday 8 June, 5:00 pm",,West Coast Fever,Australia,59-48,Southern Steel,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2009,11,3,"Saturday 13 June, 2:00 pm",,Canterbury Tactix,New Zealand,53-46,Queensland Firebirds,Australia,Canterbury Tactix,New Zealand,"Westpac Arena, Christchurch"
2009,11,3,"Sunday 14 June, 2:00 pm",,Adelaide Thunderbirds,Australia,58-39,West Coast Fever,Australia,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2009,11,3,"Sunday 14 June, 6:30 pm",,Central Pulse,New Zealand,35-67,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"TSB Bank Arena, Wellington"
2009,11,3,"Monday 15 June, 7:00 pm",,Southern Steel,New Zealand,52-50,Northern Mystics,New Zealand,Southern Steel,New Zealand,"Stadium Southland, Invercargill"
2009,11,3,"Monday 15 June, 7:00 pm",,New South Wales Swifts,Australia,52-63,Melbourne Vixens,Australia,Melbourne Vixens,Australia,Sydney Olympic Park Sports Centre
2009,12,3,"Saturday 20 June, 2:00 pm",,Northern Mystics,New Zealand,57-61,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Trusts Stadium, Auckland"
2009,12,3,"Saturday 20 June, 1:30 pm",,Adelaide Thunderbirds,Australia,70-40,Central Pulse,New Zealand,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2009,12,3,"Sunday 21 June, 2:30 pm",,New South Wales Swifts,Australia,60-63,West Coast Fever,Australia,West Coast Fever,Australia,Sydney Olympic Park Sports Centre
2009,12,3,"Monday 22 June, 7:00 pm",,Waikato Bay of Plenty Magic,New Zealand,50-46,Canterbury Tactix,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2009,12,3,"Monday 22 June, 7:00 pm",,Queensland Firebirds,Australia,52-50,Southern Steel,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2009,13,3,"Saturday 27 June, 2:00 pm",,Northern Mystics,New Zealand,57-59,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Trusts Stadium, Auckland"
2009,13,3,"Sunday 28 June, 12:30 pm",,West Coast Fever,Australia,38-49,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Challenge Stadium, Perth"
2009,13,3,"Sunday 28 June, 6:30 pm",,Central Pulse,New Zealand,53-52,New South Wales Swifts,Australia,Central Pulse,New Zealand,"Te Rauparaha Arena, Porirua"
2009,13,3,"Monday 29 June, 7:00 pm",,Southern Steel,New Zealand,58-49,Adelaide Thunderbirds,Australia,Southern Steel,New Zealand,"The Edgar Centre, Dunedin"
2009,13,3,"Monday 29 June, 7:00 pm",,Melbourne Vixens,Australia,63-35,Canterbury Tactix,New Zealand,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2009,14,3,"Saturday 4 July, 2:00 pm",,Southern Steel,New Zealand,55-48,New South Wales Swifts,Australia,Southern Steel,New Zealand,"Stadium Southland, Invercargill"
2009,14,3,"Saturday 4 July, 2:00 pm",,Melbourne Vixens,Australia,80-39,Central Pulse,New Zealand,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2009,14,3,"Sunday 5 July, 2:00 pm",,Adelaide Thunderbirds,Australia,54-35,Waikato Bay of Plenty Magic,New Zealand,Adelaide Thunderbirds,Australia,"Adelaide Arena, Adelaide"
2009,14,3,"Monday 6 July, 7:00 pm",,Canterbury Tactix,New Zealand,63-56,Northern Mystics,New Zealand,Canterbury Tactix,New Zealand,"Westpac Arena, Christchurch"
